Year,Site,Transect,Plot,Plant_ID,Prev_year_precip,PlotSlope,Aspect,Change_Total_Live_Culms,Change_Reproductive_culms,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGCover,Init_BGDensity,Init_ShrubCover,Init_HerbCover
2022,TumamocHill,5_6,219,146,244.38,16.4,W,4,0,-9.75,-50,-3,-11,40,5.375,10,3.5
2021,TumamocHill,5_6,219,147,360.76,16.4,W,-12,-11,11.125,35,0,8.5,40,5.375,10,3.5
2022,TumamocHill,5_6,219,147,244.38,16.4,W,-2,0,-9.75,-50,-3,-11,40,5.375,10,3.5
2021,TumamocHill,5_6,220,148,360.76,17.2,W,-34,-29,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,148,244.38,17.2,W,0,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,149,360.76,17.2,W,-8,-5,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,149,244.38,17.2,W,0,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,150,360.76,17.2,W,-4,-5,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,150,244.38,17.2,W,-3,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,151,360.76,17.2,W,-26,-23,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,151,244.38,17.2,W,-5,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,152,360.76,17.2,W,-5,-7,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,152,244.38,17.2,W,-4,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,153,360.76,17.2,W,-10,-9,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,153,244.38,17.2,W,-3,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,154,360.76,17.2,W,-7,-5,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,154,244.38,17.2,W,0,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,155,360.76,17.2,W,-25,-23,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,155,244.38,17.2,W,0,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,156,360.76,17.2,W,-6,-4,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,156,244.38,17.2,W,0,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_6,220,157,360.76,17.2,W,1,-2,6.375,0,-15,-1,50,9.125,30,4
2022,TumamocHill,5_6,220,157,244.38,17.2,W,-3,0,-7,-30,-5,-2.5,50,9.125,30,4
2021,TumamocHill,5_4,221,158,375.12,15.6,W,12,8,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,158,244.42,15.6,W,1,-11,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,159,375.12,15.6,W,8,0,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,159,244.42,15.6,W,11,-2,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,160,375.12,15.6,W,58,43,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,160,244.42,15.6,W,-4,-27,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,161,375.12,15.6,W,-7,-2,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,161,244.42,15.6,W,-1,0,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,162,375.12,15.6,W,-36,-32,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,162,244.42,15.6,W,0,-3,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,163,375.12,15.6,W,58,35,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,163,244.42,15.6,W,-2,-30,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,164,375.12,15.6,W,20,14,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,164,244.42,15.6,W,3,-1,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,165,375.12,22.2,W,55,35,0.25,-20,16,5,70,3.1875,0,1
2022,TumamocHill,5_4,221,165,244.42,15.6,W,21,-17,0.4375,15,-16,-6,70,3.1875,0,1
2021,TumamocHill,5_4,221,166,375.12,15.6,W,-18,-19,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,166,244.42,15.6,W,2,0,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,221,167,375.12,15.6,W,-5,-3,3.6875,10,0,0.5,70,3.1875,0,1
2022,TumamocHill,5_4,221,167,244.42,15.6,W,19,8,-3,-15,0,-1.5,70,3.1875,0,1
2021,TumamocHill,5_4,222,168,375.12,22.2,W,5,2,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,168,244.42,22.2,W,3,-2,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,169,375.12,15.6,W,27,22,4.3125,35,-25,0.5,45,2.5625,25,1
2022,TumamocHill,5_4,222,169,244.42,22.2,W,-25,-19,-3.875,-50,18,-1.5,45,2.5625,25,1
2021,TumamocHill,5_4,222,170,375.12,22.2,W,63,59,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,170,244.42,22.2,W,27,-8,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,171,375.12,22.2,W,59,41,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,171,244.42,22.2,W,-23,-31,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,172,375.12,22.2,W,38,35,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,172,244.42,22.2,W,-9,-26,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,174,375.12,22.2,W,51,41,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,174,244.42,22.2,W,0,-15,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,175,375.12,22.2,W,3,1,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,175,244.42,22.2,W,1,1,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,176,375.12,22.2,W,56,25,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,176,244.42,22.2,W,-36,-45,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,222,177,375.12,22.2,W,28,13,0.875,5,-9,5,45,2.5625,25,1
2022,TumamocHill,5_4,222,177,244.42,22.2,W,-16,-17,-0.4375,-20,2,-6,45,2.5625,25,1
2021,TumamocHill,5_4,223,178,375.12,19.4,W,18,22,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,178,244.42,19.4,W,-18,-22,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,179,375.12,19.4,W,23,38,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,179,244.42,19.4,W,-36,-40,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,180,375.12,19.4,W,17,17,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,180,244.42,19.4,W,-28,-27,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,181,375.12,19.4,W,3,9,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,181,244.42,19.4,W,-17,-31,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,182,375.12,19.4,W,4,10,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,182,244.42,19.4,W,-4,-15,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,183,375.12,19.4,W,4,1,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,183,244.42,19.4,W,-5,-2,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,184,375.12,19.4,W,39,27,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,184,244.42,19.4,W,11,3,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,185,375.12,19.4,W,30,29,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,185,244.42,19.4,W,-24,-25,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,186,375.12,19.4,W,78,59,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,186,244.42,19.4,W,-6,-17,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,5_4,223,187,375.12,19.4,W,45,26,1.3125,30,-8,2,60,3.4375,20,1
2022,TumamocHill,5_4,223,187,244.42,19.4,W,-9,-24,-1.25,-35,-2,-3,60,3.4375,20,1
2021,TumamocHill,4_3,257,188,373.68,31.6,S,-10,-8,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,189,373.68,31.6,S,-15,-11,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,193,373.68,31.6,S,-26,-22,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,194,373.68,31.6,S,-21,-21,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,195,373.68,31.6,S,-35,-17,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,196,373.68,31.6,S,-18,-12,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,257,197,373.68,31.6,S,-20,-10,7.9375,25,-6,9,25,3.4375,15,1
2021,TumamocHill,4_3,258,198,373.68,25,S,-17,-15,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,199,373.68,25,S,-41,-37,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,200,373.68,25,S,-6,-5,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,201,373.68,25,S,-49,-38,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,202,373.68,25,S,2,-7,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,203,373.68,25,S,-22,-19,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,204,373.68,25,S,-69,-53,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,205,373.68,25,S,16,-1,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,206,373.68,25,S,-20,-18,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,258,207,373.68,25,S,7,-1,7.625,10,-2,5.5,25,2.5,25,0.5
2021,TumamocHill,4_3,259,208,373.68,24,S,4,-3,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,209,373.68,24,S,-5,-3,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,210,373.68,24,S,-13,-10,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,211,373.68,24,S,-56,-37,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,212,373.68,24,S,2,-4,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,213,373.68,24,S,5,-1,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,214,373.68,24,S,-39,-42,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,215,373.68,24,S,-10,-7,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,216,373.68,24,S,-54,-46,6.625,11,0,1,25,4,25,0
2021,TumamocHill,4_3,259,217,373.68,24,S,-22,-32,6.625,11,0,1,25,4,25,0
2021,TumamocHill,3_3,254,224,359.52,13.4,E,-12,-11,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,225,359.52,13.4,E,-28,-13,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,226,359.52,13.4,E,-43,-26,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,227,359.52,13.4,E,-11,-5,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,228,359.52,13.4,E,-17,-11,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,229,359.52,13.4,E,-16,-3,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,230,359.52,13.4,E,-36,-22,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,231,359.52,13.4,E,-10,-3,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,232,359.52,13.4,E,-51,-25,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,254,233,359.52,13.4,E,-43,-21,26.6875,25,5,13,25,2.5625,10,2
2021,TumamocHill,3_3,255,234,359.52,11.8,E,-20,-8,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,235,359.52,11.8,E,-17,-10,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,236,359.52,11.8,E,-7,-4,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,237,359.52,11.8,E,-25,-15,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,238,359.52,11.8,E,-6,-2,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,239,359.52,11.8,E,-19,-10,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,240,359.52,11.8,E,-7,-2,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,241,359.52,11.8,E,-12,-8,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,242,359.52,11.8,E,-13,-10,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,255,243,359.52,11.8,E,-58,-43,26.375,20,5,25,30,4.375,5,1
2021,TumamocHill,3_3,256,244,359.52,12.8,E,-37,-29,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,245,359.52,12.8,E,-23,-13,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,246,359.52,12.8,E,-4,-1,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,247,359.52,12.8,E,-18,-12,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,248,359.52,12.8,E,-39,-20,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,249,359.52,12.8,E,-11,-7,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,250,359.52,12.8,E,-6,-12,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,251,359.52,12.8,E,-28,-6,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,252,359.52,12.8,E,-6,-2,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,3_3,256,253,359.52,12.8,E,-3,-5,32.0625,35,-2,27.5,30,3.9375,15,0.5
2021,TumamocHill,4_1,263,266,373.85,11.8,S,-38,-87,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,266,263.58,11.8,S,34,48,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,267,373.85,11.8,S,1,-29,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,267,263.58,11.8,S,0,20,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,268,373.85,11.8,S,-11,-12,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,268,263.58,11.8,S,1,1,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,269,373.85,11.8,S,-30,-25,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,269,263.58,11.8,S,-1,0,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,270,373.85,11.8,S,23,-29,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,270,263.58,11.8,S,8,37,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,271,373.85,11.8,S,3,-21,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,271,263.58,11.8,S,-24,-4,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,272,373.85,11.8,S,8,-31,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,272,263.58,11.8,S,26,20,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,273,373.85,11.8,S,-14,-10,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,273,263.58,11.8,S,0,0,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,274,373.85,11.8,S,6,-25,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,274,263.58,11.8,S,13,23,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,263,275,373.85,11.8,S,-9,-20,7.8125,-40,-3,0,80,3.0625,3,1
2022,TumamocHill,4_1,263,275,263.58,11.8,S,33,19,-3.6875,15,5,-1,80,3.0625,3,1
2021,TumamocHill,4_1,264,276,373.85,13.8,S,-29,-19,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,276,263.58,13.8,S,0,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,277,373.85,13.8,S,-27,-17,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,277,263.58,13.8,S,-1,3,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,278,373.85,13.8,S,38,19,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,278,263.58,13.8,S,38,23,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,279,373.85,13.8,S,-6,-1,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,279,263.58,13.8,S,1,-6,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,280,373.85,13.8,S,-69,-43,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,280,263.58,13.8,S,13,2,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,281,373.85,13.8,S,-13,-13,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,281,263.58,13.8,S,-10,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,282,373.85,13.8,S,-11,-2,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,282,263.58,13.8,S,-1,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,283,373.85,13.8,S,-5,-1,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,283,263.58,13.8,S,0,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,284,373.85,13.8,S,-1,-16,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,284,263.58,13.8,S,-16,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,264,285,373.85,13.8,S,-16,-9,11.9375,8,5,1,12,2,10,1.5
2022,TumamocHill,4_1,264,285,263.58,13.8,S,0,0,-8.0625,-8,4,1,12,2,10,1.5
2021,TumamocHill,4_1,265,286,373.85,11.4,S,-17,-12,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,286,263.58,11.4,S,0,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,287,373.85,11.4,S,-11,-11,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,287,263.58,11.4,S,-3,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,288,373.85,11.4,S,4,-3,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,288,263.58,11.4,S,-9,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,289,373.85,11.4,S,-19,-15,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,289,263.58,11.4,S,-5,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,290,373.85,11.4,S,-4,-6,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,290,263.58,11.4,S,-4,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,291,373.85,11.4,S,-10,-11,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,291,263.58,11.4,S,10,4,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,292,373.85,11.4,S,4,-7,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,292,263.58,11.4,S,9,-8,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,293,373.85,11.4,S,-9,-11,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,293,263.58,11.4,S,33,13,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,294,373.85,11.4,S,10,0,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,294,263.58,11.4,S,38,25,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_1,265,295,373.85,11.4,S,-11,-11,27.1875,-5,-3,1,30,3.9375,18,1
2022,TumamocHill,4_1,265,295,263.58,11.4,S,-10,0,-23.4375,-10,0,2,30,3.9375,18,1
2021,TumamocHill,4_2,296,301,373.91,8,S,8,7,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,301,263.63,8,S,15,-3,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,302,373.91,8,S,-3,1,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,302,263.63,8,S,4,3,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,303,373.91,8,S,4,-17,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,303,263.63,8,S,16,12,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,304,373.91,8,S,6,-1,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,304,263.63,8,S,-3,0,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,305,373.91,8,S,-3,-2,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,305,263.63,8,S,7,2,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,306,373.91,8,S,17,-21,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,306,263.63,8,S,-12,-11,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,307,373.91,8,S,3,-4,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,307,263.63,8,S,15,3,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,308,373.91,8,S,15,-23,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,308,263.63,8,S,7,3,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,309,373.91,8,S,26,-10,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,309,263.63,8,S,-10,6,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,296,310,373.91,8,S,-13,-5,-2,-5,-12,-12,65,6.4375,30,18
2022,TumamocHill,4_2,296,310,263.63,8,S,0,0,0.6875,-8,-1,-4,65,6.4375,30,18
2021,TumamocHill,4_2,297,311,373.91,9.2,S,17,14,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,311,263.63,9.2,S,13,-16,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,312,373.91,9.2,S,-40,-15,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,312,263.63,9.2,S,8,2,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,313,373.91,9.2,S,4,2,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,313,263.63,9.2,S,1,-2,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,314,373.91,9.2,S,-62,-27,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,314,263.63,9.2,S,-1,-8,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,315,373.91,9.2,S,-1,3,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,315,263.63,9.2,S,5,-5,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,316,373.91,9.2,S,-45,-13,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,316,263.63,9.2,S,9,-8,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,317,373.91,9.2,S,-5,-4,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,317,263.63,9.2,S,-27,-8,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,318,373.91,9.2,S,-15,-6,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,318,263.63,9.2,S,0,0,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,319,373.91,9.2,S,-25,-5,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,319,263.63,9.2,S,4,3,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,297,320,373.91,9.2,S,-13,-3,0.75,-15,0,8.5,90,6.375,8,2
2022,TumamocHill,4_2,297,320,263.63,9.2,S,0,0,0.5625,-20,-1,-10,90,6.375,8,2
2021,TumamocHill,4_2,298,321,373.91,4.4,S,-9,-2,-0.6875,-30,5,9,50,4.0625,25,1.5
2022,TumamocHill,4_2,298,321,263.63,4.4,S,0,0,0.875,13,-7,-5.5,50,4.0625,25,1.5
2021,TumamocHill,4_2,298,322,373.91,4.4,S,-9,-1,-0.6875,-30,5,9,50,4.0625,25,1.5
2022,TumamocHill,4_2,298,322,263.63,4.4,S,4,-2,0.875,13,-7,-5.5,50,4.0625,25,1.5
2021,TumamocHill,4_2,298,323,373.91,4.4,S,-11,2,-0.6875,-30,5,9,50,4.0625,25,1.5
2022,TumamocHill,4_2,298,323,263.63,4.4,S,12,-7,0.875,13,-7,-5.5,50,4.0625,25,1.5
2021,TumamocHill,4_2,298,324,373.91,4.4,S,-17,-5,-0.6875,-30,5,9,50,4.0625,25,1.5
2022,TumamocHill,4_2,298,324,263.63,4.4,S,0,0,0.875,13,-7,-5.5,50,4.0625,25,1.5
